,Neighbour ID,Appliance ID,Market Iteration,Request Iteration,Request ID,Log Location,Queue Position,Request Fairness,Market Start Time,Market End Time,Earliest Start Time,Beginning of Latest Running Period,Request Power,Request Duration,Ever Tried Satisfy Request,Request Acceptance,Accepted Start Time,Accepted End Time,Request Cost,Neighbour Fairness,Neighbour Total Energy Desired,Neighbour Total Energy Delivered,Request Total Energy Desired,Request Total Energy Delivered,Request Type,Processed Time,Neighbour Fairness Series
0,79,424,1,1,794242021-12-17 11:30:00,queue,28,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 11:30:00,2021-12-17 12:00:00,6.5,0 days 00:30:00,True,True,2021-12-17 12:00:00,2021-12-17 12:30:00,1460.39,0.79,86.5,68.5,3.25,3.25,premium,1717366054.144783,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
1,86,136,1,1,861362021-12-17 13:00:00,queue,31,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:00:00,2021-12-17 13:30:00,2.75,0 days 00:30:00,True,True,2021-12-17 13:30:00,2021-12-17 14:00:00,635.8,0.36,17.25,6.125,1.375,1.375,basic,1717366054.151739,"[0, 0.13, 0.11, 0.25, 0.36]"
2,86,138,1,1,861382021-12-17 17:00:00,queue,123,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:00:00,2021-12-17 18:30:00,2.0,0 days 01:00:00,True,False,,,,0.36,17.25,6.125,2.0,0.0,basic,1717366054.1549819,"[0, 0.13, 0.11, 0.25, 0.36]"
3,14,60,1,1,14602021-12-17 12:00:00,queue,15,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 13:00:00,3.25,0 days 01:00:00,True,True,2021-12-17 12:30:00,2021-12-17 13:30:00,2091.6,0.45,10.0,4.5,3.25,3.25,basic,1717366054.15766,"[0, 0.37, 0.45]"
4,74,180,1,1,741802021-12-17 06:00:00,queue,135,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 06:00:00,2021-12-17 21:00:00,5.25,0 days 15:00:00,True,False,,,,0.02,164.0,2.75,78.75,0.0,basic,1717366054.160827,"[0, 0.0, 0.02]"
5,44,57,1,1,44572021-12-17 07:00:00,queue,52,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 07:00:00,2021-12-17 07:30:00,1.0,0 days 00:30:00,True,True,2021-12-17 07:00:00,2021-12-17 07:30:00,247.21,0.45,10.0,4.5,0.5,0.5,basic,1717366054.164532,"[0, 0.08, 0.45]"
6,55,69,1,1,55692021-12-17 07:00:00,queue,5,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 07:00:00,2021-12-17 07:30:00,2.25,0 days 00:30:00,True,True,2021-12-17 07:30:00,2021-12-17 08:00:00,530.14,0.63,12.25,7.75,1.125,1.125,premium,1717366054.168161,"[1.0, 1.0, 0.63]"
7,4,262,1,1,42622021-12-17 13:00:00,queue,116,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:00:00,2021-12-17 14:30:00,5.25,0 days 01:30:00,True,False,,,,0.3,70.5,21.0,7.875,0.0,premium,1717366054.1725519,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
8,80,64,1,1,80642021-12-17 17:30:00,queue,39,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:30:00,2021-12-17 18:30:00,3.5,0 days 01:00:00,True,False,,,,0.0,8.0,0.0,3.5,0.0,basic,1717366054.1751838,"[0, 0.0]"
9,55,70,1,1,55702021-12-17 18:00:00,queue,65,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 21:00:00,1.5,0 days 03:00:00,True,False,,,,0.63,12.25,7.75,4.5,0.0,premium,1717366054.177919,"[1.0, 1.0, 0.63]"
10,79,430,1,1,794302021-12-17 19:30:00,queue,1,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 21:00:00,5.0,0 days 01:30:00,True,True,2021-12-17 19:30:00,2021-12-17 21:00:00,6506.85,0.79,86.5,68.5,7.5,7.5,premium,1717366054.181194,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
11,10,166,1,1,101662021-12-17 19:30:00,queue,59,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:00:00,1.0,0 days 00:30:00,True,True,2021-12-17 20:00:00,2021-12-17 20:30:00,248.7,0.23,18.0,4.125,0.5,0.5,basic,1717366054.185107,"[0, 0.05, 0.27, 0.24, 0.27, 0.23]"
12,49,27,1,1,49272021-12-17 18:00:00,queue,138,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 18:30:00,1.5,0 days 00:30:00,True,False,,,,0.7,2.5,1.75,0.75,0.0,basic,1717366054.1885068,"[1.0, 0.7]"
13,93,27,1,1,93272021-12-17 17:30:00,queue,47,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:30:00,2021-12-17 18:00:00,2.5,0 days 00:30:00,True,False,,,,0.64,3.5,2.25,1.25,0.0,basic,1717366054.191295,"[1.0, 0.64]"
14,4,265,1,1,42652021-12-17 17:00:00,queue,26,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:00:00,2021-12-17 20:30:00,5.25,0 days 03:00:00,True,True,2021-12-17 17:30:00,2021-12-17 20:30:00,26426.61,0.3,70.5,21.0,15.75,15.75,premium,1717366054.193845,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
15,86,137,1,1,861372021-12-17 15:00:00,queue,35,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 16:00:00,2.25,0 days 01:00:00,True,True,2021-12-17 15:30:00,2021-12-17 16:30:00,1637.73,0.36,17.25,6.125,2.25,2.25,basic,1717366054.197006,"[0, 0.13, 0.11, 0.25, 0.36]"
16,84,170,1,1,841702021-12-17 05:00:00,queue,7,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 05:00:00,2021-12-17 07:00:00,2.25,0 days 02:00:00,True,False,,,,0.29,56.0,16.0,4.5,0.0,basic,1717366054.2002869,"[0, 0.0, 0.0, 0.05, 0.07, 0.13, 0.26, 0.25, 0.29]"
17,19,72,1,1,19722021-12-17 18:30:00,queue,87,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:30:00,2021-12-17 22:00:00,2.25,0 days 03:00:00,True,False,,,,0.53,17.0,9.0,6.75,0.0,basic,1717366054.203854,"[1.0, 0.57, 0.53]"
18,78,61,1,1,78612021-12-17 19:30:00,queue,91,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:30:00,3.0,0 days 01:00:00,True,False,,,,0.0,44.5,0.0,3.0,0.0,basic,1717366054.206976,"[0, 0.0, 0.0]"
19,29,77,1,1,29772021-12-17 00:30:00,queue,13,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 00:30:00,2021-12-17 02:00:00,3.0,0 days 01:30:00,True,True,2021-12-17 00:30:00,2021-12-17 02:00:00,4142.66,0.8,16.5,13.25,4.5,4.5,premium,1717366054.2121081,"[1.0, 1.0, 0.8]"
20,22,155,1,1,221552021-12-17 14:00:00,queue,72,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 14:00:00,2021-12-17 14:30:00,6.25,0 days 00:30:00,True,True,2021-12-17 14:00:00,2021-12-17 14:30:00,1504.81,0.47,15.25,7.125,3.125,3.125,premium,1717366054.217443,"[0, 0.28, 0.36, 0.47]"
21,65,130,1,1,651302021-12-17 07:30:00,queue,113,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 07:30:00,2021-12-17 08:30:00,1.25,0 days 00:30:00,True,True,2021-12-17 08:30:00,2021-12-17 09:00:00,319.63,0.84,12.25,10.25,0.625,0.625,basic,1717366054.220638,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.84]"
22,14,59,1,1,14592021-12-17 10:30:00,queue,124,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 10:30:00,2021-12-17 11:30:00,1.25,0 days 01:00:00,True,True,2021-12-17 11:00:00,2021-12-17 12:00:00,858.06,0.45,10.0,4.5,1.25,1.25,basic,1717366054.223812,"[0, 0.37, 0.45]"
23,37,242,1,1,372422021-12-17 04:30:00,queue,134,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 04:30:00,2021-12-17 05:00:00,1.5,0 days 00:30:00,True,True,2021-12-17 05:00:00,2021-12-17 05:30:00,327.53,0.8,22.5,18.0,0.75,0.75,premium,1717366054.2265768,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
24,22,154,1,1,221542021-12-17 09:00:00,queue,120,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 09:00:00,2021-12-17 10:00:00,1.5,0 days 01:00:00,True,True,2021-12-17 09:30:00,2021-12-17 10:30:00,1107.74,0.47,15.25,7.125,1.5,1.5,premium,1717366054.231518,"[0, 0.28, 0.36, 0.47]"
25,6,20,1,1,6202021-12-17 15:00:00,queue,56,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 15:30:00,2.25,0 days 00:30:00,True,True,2021-12-17 15:30:00,2021-12-17 16:00:00,562.48,0.26,4.25,1.125,1.125,1.125,basic,1717366054.239228,"[0, 0.3, 0.26]"
26,97,30,1,1,97302021-12-17 08:30:00,queue,78,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 08:30:00,2021-12-17 12:00:00,2.0,0 days 03:30:00,True,False,,,,0.53,15.0,8.0,7.0,0.0,basic,1717366054.24455,"[1.0, 0.53]"
27,79,429,1,1,794292021-12-17 18:00:00,queue,42,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 18:30:00,6.0,0 days 00:30:00,True,False,,,,0.79,86.5,68.5,3.0,0.0,premium,1717366054.251202,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
28,24,102,1,1,241022021-12-17 02:30:00,queue,17,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 02:30:00,2021-12-17 04:00:00,3.0,0 days 01:30:00,True,False,,,,0.08,12.0,1.0,4.5,0.0,basic,1717366054.253941,"[0, 0.0, 0.08]"
29,17,158,1,1,171582021-12-17 07:30:00,queue,44,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 07:30:00,2021-12-17 08:00:00,1.5,0 days 00:30:00,True,True,2021-12-17 08:00:00,2021-12-17 08:30:00,362.34,0.63,42.5,26.625,0.75,0.75,basic,1717366054.256758,"[1.0, 1.0, 0.71, 0.63, 0.65, 0.6, 0.63]"
30,84,175,1,1,841752021-12-17 15:30:00,queue,97,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:30:00,2021-12-17 16:30:00,4.0,0 days 01:00:00,True,False,,,,0.29,56.0,16.0,4.0,0.0,basic,1717366054.259978,"[0, 0.0, 0.0, 0.05, 0.07, 0.13, 0.26, 0.25, 0.29]"
31,28,40,1,1,28402021-12-17 17:30:00,queue,50,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:30:00,2021-12-17 18:00:00,2.75,0 days 00:30:00,True,False,,,,0.0,27.75,0.0,1.375,0.0,premium,1717366054.263136,"[0, 0.0, 0.0]"
32,47,173,1,1,471732021-12-17 18:00:00,queue,62,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 19:00:00,2.5,0 days 01:00:00,True,False,,,,0.65,36.0,23.5,2.5,0.0,basic,1717366054.26614,"[1.0, 0.88, 0.89, 0.89, 0.9, 0.64, 0.65]"
33,47,176,1,1,471762021-12-17 21:00:00,queue,93,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 21:00:00,2021-12-17 21:30:00,2.25,0 days 00:30:00,True,True,2021-12-17 21:00:00,2021-12-17 21:30:00,534.55,0.65,36.0,23.5,1.125,1.125,basic,1717366054.268696,"[1.0, 0.88, 0.89, 0.89, 0.9, 0.64, 0.65]"
34,79,426,1,1,794262021-12-17 14:00:00,queue,108,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 14:00:00,2021-12-17 14:30:00,6.5,0 days 00:30:00,True,False,,,,0.79,86.5,68.5,3.25,0.0,premium,1717366054.271648,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
35,9,30,1,1,9302021-12-17 18:00:00,queue,122,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 19:00:00,3.25,0 days 01:00:00,True,False,,,,0.57,7.5,4.25,3.25,0.0,basic,1717366054.275608,"[1.0, 0.57]"
36,4,264,1,1,42642021-12-17 15:30:00,queue,126,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:30:00,2021-12-17 16:30:00,4.75,0 days 01:00:00,True,False,,,,0.3,70.5,21.0,4.75,0.0,premium,1717366054.279326,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
37,98,54,1,1,98542021-12-17 19:30:00,queue,105,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:00:00,3.5,0 days 00:30:00,True,False,,,,0.09,5.5,0.5,1.75,0.0,basic,1717366054.282326,"[0, 0.0, 0.09]"
38,79,423,1,1,794232021-12-17 09:30:00,queue,30,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 09:30:00,2021-12-17 10:30:00,4.0,0 days 01:00:00,True,True,2021-12-17 10:00:00,2021-12-17 11:00:00,2693.24,0.79,86.5,68.5,4.0,4.0,premium,1717366054.284999,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
39,0,30,1,1,0302021-12-17 16:00:00,queue,18,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 16:00:00,2021-12-17 16:30:00,3.5,0 days 00:30:00,True,True,2021-12-17 16:30:00,2021-12-17 17:00:00,822.94,0.39,4.5,1.75,1.75,1.75,premium,1717366054.288053,"[0, 0.39]"
40,3,21,1,1,3212021-12-17 18:00:00,queue,12,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 19:00:00,1.0,0 days 01:00:00,True,True,2021-12-17 18:00:00,2021-12-17 19:00:00,706.08,1.0,3.0,3.0,1.0,1.0,basic,1717366054.291018,"[1.0, 1.0]"
41,64,119,1,1,641192021-12-17 00:30:00,queue,118,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 00:30:00,2021-12-17 04:30:00,8.25,0 days 03:30:00,True,False,,,,0.02,61.75,1.5,28.875,0.0,basic,1717366054.294122,"[0, 0.0, 0.02, 0.02]"
42,29,78,1,1,29782021-12-17 17:00:00,queue,85,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:00:00,2021-12-17 18:00:00,3.25,0 days 01:00:00,True,False,,,,0.8,16.5,13.25,3.25,0.0,premium,1717366054.29768,"[1.0, 1.0, 0.8]"
43,60,65,1,1,60652021-12-17 17:00:00,queue,41,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:00:00,2021-12-17 18:30:00,3.0,0 days 01:00:00,True,True,2021-12-17 17:00:00,2021-12-17 18:00:00,2307.42,0.46,12.0,5.5,3.0,3.0,premium,1717366054.3007,"[0, 0.32, 0.46]"
44,70,200,1,1,702002021-12-17 19:30:00,queue,89,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:00:00,2.25,0 days 00:30:00,True,False,,,,0.2,16.0,3.125,1.125,0.0,basic,1717366054.304399,"[0, 0.0, 0.09, 0.18, 0.14, 0.2]"
45,37,245,1,1,372452021-12-17 15:00:00,queue,11,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 16:00:00,3.5,0 days 01:00:00,True,True,2021-12-17 15:30:00,2021-12-17 16:30:00,2424.69,0.8,22.5,18.0,3.5,3.5,premium,1717366054.307182,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
46,74,181,1,1,741812021-12-17 21:00:00,queue,106,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 21:00:00,2021-12-17 21:30:00,5.5,0 days 00:30:00,True,True,2021-12-17 21:30:00,2021-12-17 22:00:00,1317.99,0.02,164.0,2.75,2.75,2.75,basic,1717366054.310199,"[0, 0.0, 0.02]"
47,44,58,1,1,44582021-12-17 12:30:00,queue,27,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:30:00,2021-12-17 14:30:00,2.0,0 days 02:00:00,True,True,2021-12-17 13:00:00,2021-12-17 15:00:00,4481.0,0.45,10.0,4.5,4.0,4.0,basic,1717366054.31456,"[0, 0.08, 0.45]"
48,65,129,1,1,651292021-12-17 07:00:00,queue,92,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 07:00:00,2021-12-17 07:30:00,1.25,0 days 00:30:00,True,True,2021-12-17 07:00:00,2021-12-17 07:30:00,318.96,0.84,12.25,10.25,0.625,0.625,basic,1717366054.3176498,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.84]"
49,1,163,1,1,11632021-12-17 10:00:00,queue,10,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 10:00:00,2021-12-17 10:30:00,1.5,0 days 00:30:00,True,True,2021-12-17 10:30:00,2021-12-17 11:00:00,320.74,0.75,12.0,9.0,0.75,0.75,premium,1717366054.3230531,"[1.0, 1.0, 1.0, 1.0, 0.75]"
50,84,174,1,2,841742021-12-17 15:00:00,queue,125,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 15:30:00,3.5,0 days 00:30:00,True,True,2021-12-17 15:00:00,2021-12-17 15:30:00,893.53,0.29,56.0,16.0,1.75,1.75,basic,1717366054.3276732,"[0, 0.0, 0.0, 0.05, 0.07, 0.13, 0.26, 0.25, 0.29]"
51,4,263,1,1,42632021-12-17 15:00:00,queue,139,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 15:30:00,2.25,0 days 00:30:00,True,False,,,,0.3,70.5,21.0,1.125,0.0,premium,1717366054.337003,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
52,37,244,1,1,372442021-12-17 13:30:00,queue,121,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:30:00,2021-12-17 14:00:00,1.5,0 days 00:30:00,True,True,2021-12-17 13:30:00,2021-12-17 14:00:00,373.49,0.8,22.5,18.0,0.75,0.75,premium,1717366054.3398871,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
53,34,53,1,1,34532021-12-17 10:00:00,queue,95,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 10:00:00,2021-12-17 10:30:00,3.25,0 days 00:30:00,True,True,2021-12-17 10:30:00,2021-12-17 11:00:00,746.57,0.42,6.0,2.5,1.625,1.625,basic,1717366054.342859,"[0, 0.32, 0.42]"
54,37,243,1,1,372432021-12-17 12:00:00,queue,137,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 13:30:00,3.0,0 days 01:30:00,True,False,,,,0.8,22.5,18.0,4.5,0.0,premium,1717366054.347973,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
55,1,164,1,1,11642021-12-17 13:00:00,queue,55,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:00:00,2021-12-17 13:30:00,1.0,0 days 00:30:00,True,True,2021-12-17 13:00:00,2021-12-17 13:30:00,237.64,0.75,12.0,9.0,0.5,0.5,premium,1717366054.353031,"[1.0, 1.0, 1.0, 1.0, 0.75]"
56,47,172,1,1,471722021-12-17 12:30:00,queue,37,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:30:00,2021-12-17 13:30:00,3.0,0 days 00:30:00,True,True,2021-12-17 12:30:00,2021-12-17 13:00:00,692.12,0.65,36.0,23.5,1.5,1.5,basic,1717366054.356691,"[1.0, 0.88, 0.89, 0.89, 0.9, 0.64, 0.65]"
57,84,172,1,1,841722021-12-17 12:00:00,queue,80,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 13:00:00,2.0,0 days 00:30:00,True,True,2021-12-17 13:00:00,2021-12-17 13:30:00,478.89,0.29,56.0,16.0,1.0,1.0,basic,1717366054.3600261,"[0, 0.0, 0.0, 0.05, 0.07, 0.13, 0.26, 0.25, 0.29]"
58,30,95,1,1,30952021-12-17 15:30:00,queue,60,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:30:00,2021-12-17 16:00:00,1.75,0 days 00:30:00,True,True,2021-12-17 16:00:00,2021-12-17 16:30:00,431.72,0.47,16.75,7.875,0.875,0.875,basic,1717366054.364853,"[0, 0.09, 0.47]"
59,79,425,1,1,794252021-12-17 13:00:00,queue,103,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:00:00,2021-12-17 13:30:00,7.25,0 days 00:30:00,True,False,,,,0.79,86.5,68.5,3.625,0.0,premium,1717366054.368059,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
60,75,136,1,1,751362021-12-17 19:30:00,queue,84,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:30:00,1.75,0 days 01:00:00,True,True,2021-12-17 20:00:00,2021-12-17 21:00:00,1285.25,1.0,9.5,9.5,1.75,1.75,premium,1717366054.3718588,"[1.0, 1.0, 1.0]"
61,60,64,1,1,60642021-12-17 13:30:00,queue,29,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:30:00,2021-12-17 15:30:00,1.25,0 days 02:00:00,True,True,2021-12-17 13:30:00,2021-12-17 15:30:00,2898.5,0.46,12.0,5.5,2.5,2.5,premium,1717366054.377594,"[0, 0.32, 0.46]"
62,4,261,1,1,42612021-12-17 11:30:00,queue,3,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 11:30:00,2021-12-17 12:30:00,3.25,0 days 01:00:00,True,True,2021-12-17 12:00:00,2021-12-17 13:00:00,2018.67,0.3,70.5,21.0,3.25,3.25,premium,1717366054.381692,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
63,79,422,1,1,794222021-12-17 08:30:00,queue,24,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 08:30:00,2021-12-17 09:00:00,6.25,0 days 00:30:00,True,True,2021-12-17 09:00:00,2021-12-17 09:30:00,1462.19,0.79,86.5,68.5,3.125,3.125,premium,1717366054.384536,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
64,43,80,1,1,43802021-12-17 05:30:00,queue,21,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 05:30:00,2021-12-17 07:30:00,2.5,0 days 02:00:00,True,False,,,,0.75,30.0,22.5,5.0,0.0,basic,1717366054.387352,"[1.0, 0.76, 0.67, 0.75]"
65,61,61,1,1,61612021-12-17 16:00:00,queue,74,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 16:00:00,2021-12-17 18:00:00,7.25,0 days 02:00:00,True,False,,,,0.56,33.0,18.5,14.5,0.0,premium,1717366054.390125,"[1.0, 0.54, 0.56]"
66,81,31,1,1,81312021-12-17 12:00:00,queue,66,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 12:30:00,1.25,0 days 00:30:00,True,True,2021-12-17 12:30:00,2021-12-17 13:00:00,301.36,1.0,2.25,2.25,0.625,0.625,basic,1717366054.392661,"[1.0, 1.0]"
